State/UT,District,Gender,Age_Group,Missing_Count
Andhra Pradesh,Chittoor,Transgender,12 to 16,0
Andhra Pradesh,Chittoor,Transgender,16 to 18,0
Andhra Pradesh,Chittoor,Transgender,Above 18,0
Andhra Pradesh,Dr BR Ambedkar Konaseema,Male,Below 12,8
Andhra Pradesh,Dr BR Ambedkar Konaseema,Male,12 to 16,10
Andhra Pradesh,Dr BR Ambedkar Konaseema,Male,16 to 18,5
Andhra Pradesh,Dr BR Ambedkar Konaseema,Male,Above 18,142
Andhra Pradesh,Dr BR Ambedkar Konaseema,Female,Below 12,11
Andhra Pradesh,Dr BR Ambedkar Konaseema,Female,12 to 16,29
Andhra Pradesh,Dr BR Ambedkar Konaseema,Female,16 to 18,37
Andhra Pradesh,Dr BR Ambedkar Konaseema,Female,Above 18,190
Andhra Pradesh,Dr BR Ambedkar Konaseema,Transgender,Below 12,0
Andhra Pradesh,Dr BR Ambedkar Konaseema,Transgender,12 to 16,0
Andhra Pradesh,Dr BR Ambedkar Konaseema,Transgender,16 to 18,0
Andhra Pradesh,Dr BR Ambedkar Konaseema,Transgender,Above 18,0
Andhra Pradesh,East Godavari,Male,Below 12,7
Andhra Pradesh,East Godavari,Male,12 to 16,15
Andhra Pradesh,East Godavari,Male,16 to 18,14
Andhra Pradesh,East Godavari,Male,Above 18,172
Andhra Pradesh,East Godavari,Female,Below 12,6
Andhra Pradesh,East Godavari,Female,12 to 16,43
Andhra Pradesh,East Godavari,Female,16 to 18,90
Andhra Pradesh,East Godavari,Female,Above 18,264
Andhra Pradesh,East Godavari,Transgender,Below 12,0
Andhra Pradesh,East Godavari,Transgender,12 to 16,0
Andhra Pradesh,East Godavari,Transgender,16 to 18,0
Andhra Pradesh,East Godavari,Transgender,Above 18,0
Andhra Pradesh,Eluru,Male,Below 12,7
Andhra Pradesh,Eluru,Male,12 to 16,8
Andhra Pradesh,Eluru,Male,16 to 18,12
Andhra Pradesh,Eluru,Male,Above 18,200
Andhra Pradesh,Eluru,Female,Below 12,7
Andhra Pradesh,Eluru,Female,12 to 16,22
Andhra Pradesh,Eluru,Female,16 to 18,69
Andhra Pradesh,Eluru,Female,Above 18,315
Andhra Pradesh,Eluru,Transgender,Below 12,0
Andhra Pradesh,Eluru,Transgender,12 to 16,0
Andhra Pradesh,Eluru,Transgender,16 to 18,0
Andhra Pradesh,Eluru,Transgender,Above 18,0
Andhra Pradesh,Guntakal Railway,Male,Below 12,0
Andhra Pradesh,Guntakal Railway,Male,12 to 16,1
Andhra Pradesh,Guntakal Railway,Male,16 to 18,0
Andhra Pradesh,Guntakal Railway,Male,Above 18,3
Andhra Pradesh,Guntakal Railway,Female,Below 12,0
Andhra Pradesh,Guntakal Railway,Female,12 to 16,1
Andhra Pradesh,Guntakal Railway,Female,16 to 18,0
Andhra Pradesh,Guntakal Railway,Female,Above 18,5
Andhra Pradesh,Guntakal Railway,Transgender,Below 12,0
Andhra Pradesh,Guntakal Railway,Transgender,12 to 16,0
Andhra Pradesh,Guntakal Railway,Transgender,16 to 18,0
Andhra Pradesh,Guntakal Railway,Transgender,Above 18,0
Andhra Pradesh,Guntur,Male,Below 12,13
Andhra Pradesh,Guntur,Male,12 to 16,38
Andhra Pradesh,Guntur,Male,16 to 18,24
Andhra Pradesh,Guntur,Male,Above 18,268
Andhra Pradesh,Guntur,Female,Below 12,7
Andhra Pradesh,Guntur,Female,12 to 16,89
Andhra Pradesh,Guntur,Female,16 to 18,78
Andhra Pradesh,Guntur,Female,Above 18,514
Andhra Pradesh,Guntur,Transgender,Below 12,0
Andhra Pradesh,Guntur,Transgender,12 to 16,0
Andhra Pradesh,Guntur,Transgender,16 to 18,0
Andhra Pradesh,Guntur,Transgender,Above 18,0
Andhra Pradesh,Kakinada,Male,Below 12,0
Andhra Pradesh,Kakinada,Male,12 to 16,4
Andhra Pradesh,Kakinada,Male,16 to 18,5
Andhra Pradesh,Kakinada,Male,Above 18,148
Andhra Pradesh,Kakinada,Female,Below 12,0
Andhra Pradesh,Kakinada,Female,12 to 16,17
Andhra Pradesh,Kakinada,Female,16 to 18,77
Andhra Pradesh,Kakinada,Female,Above 18,295
Andhra Pradesh,Kakinada,Transgender,Below 12,0
Andhra Pradesh,Kakinada,Transgender,12 to 16,0
Andhra Pradesh,Kakinada,Transgender,16 to 18,0
Andhra Pradesh,Kakinada,Transgender,Above 18,0
Andhra Pradesh,Krishna,Male,Below 12,19
Andhra Pradesh,Krishna,Male,12 to 16,7
Andhra Pradesh,Krishna,Male,16 to 18,6
Andhra Pradesh,Krishna,Male,Above 18,156
Andhra Pradesh,Krishna,Female,Below 12,30
Andhra Pradesh,Krishna,Female,12 to 16,13
Andhra Pradesh,Krishna,Female,16 to 18,42
Andhra Pradesh,Krishna,Female,Above 18,283
Andhra Pradesh,Krishna,Transgender,Below 12,0
Andhra Pradesh,Krishna,Transgender,12 to 16,0
Andhra Pradesh,Krishna,Transgender,16 to 18,0
Andhra Pradesh,Krishna,Transgender,Above 18,0
Andhra Pradesh,Kurnool,Male,Below 12,10
Andhra Pradesh,Kurnool,Male,12 to 16,7
Andhra Pradesh,Kurnool,Male,16 to 18,5
Andhra Pradesh,Kurnool,Male,Above 18,80
Andhra Pradesh,Kurnool,Female,Below 12,21
Andhra Pradesh,Kurnool,Female,12 to 16,33
Andhra Pradesh,Kurnool,Female,16 to 18,40
Andhra Pradesh,Kurnool,Female,Above 18,144
Andhra Pradesh,Kurnool,Transgender,Below 12,0
Andhra Pradesh,Kurnool,Transgender,12 to 16,0
Andhra Pradesh,Kurnool,Transgender,16 to 18,0
Andhra Pradesh,Kurnool,Transgender,Above 18,0
Andhra Pradesh,Nandyal,Male,Below 12,15
Andhra Pradesh,Nandyal,Male,12 to 16,7
Andhra Pradesh,Nandyal,Male,16 to 18,6
Andhra Pradesh,Nandyal,Male,Above 18,105
Andhra Pradesh,Nandyal,Female,Below 12,17
Andhra Pradesh,Nandyal,Female,12 to 16,36
Andhra Pradesh,Nandyal,Female,16 to 18,43
Andhra Pradesh,Nandyal,Female,Above 18,204
Andhra Pradesh,Nandyal,Transgender,Below 12,0
Andhra Pradesh,Nandyal,Transgender,12 to 16,0
Andhra Pradesh,Nandyal,Transgender,16 to 18,0
Andhra Pradesh,Nandyal,Transgender,Above 18,0
Andhra Pradesh,NTR,Male,Below 12,14
Andhra Pradesh,NTR,Male,12 to 16,36
Andhra Pradesh,NTR,Male,16 to 18,21
Andhra Pradesh,NTR,Male,Above 18,415
Andhra Pradesh,NTR,Female,Below 12,9
Andhra Pradesh,NTR,Female,12 to 16,33
Andhra Pradesh,NTR,Female,16 to 18,130
Andhra Pradesh,NTR,Female,Above 18,689
Andhra Pradesh,NTR,Transgender,Below 12,0
Andhra Pradesh,NTR,Transgender,12 to 16,0
Andhra Pradesh,NTR,Transgender,16 to 18,0
Andhra Pradesh,NTR,Transgender,Above 18,0
Andhra Pradesh,Palnadu,Male,Below 12,28
Andhra Pradesh,Palnadu,Male,12 to 16,12
Andhra Pradesh,Palnadu,Male,16 to 18,5
Andhra Pradesh,Palnadu,Male,Above 18,88
Andhra Pradesh,Palnadu,Female,Below 12,22
Andhra Pradesh,Palnadu,Female,12 to 16,49
Andhra Pradesh,Palnadu,Female,16 to 18,40
Andhra Pradesh,Palnadu,Female,Above 18,253
Andhra Pradesh,Palnadu,Transgender,Below 12,0
Andhra Pradesh,Palnadu,Transgender,12 to 16,0
Andhra Pradesh,Palnadu,Transgender,16 to 18,0
Andhra Pradesh,Palnadu,Transgender,Above 18,0
Andhra Pradesh,Parvathipuram Manyam,Male,Below 12,3
Andhra Pradesh,Parvathipuram Manyam,Male,12 to 16,3
Andhra Pradesh,Parvathipuram Manyam,Male,16 to 18,3
Andhra Pradesh,Parvathipuram Manyam,Male,Above 18,36
Andhra Pradesh,Parvathipuram Manyam,Female,Below 12,6
Andhra Pradesh,Parvathipuram Manyam,Female,12 to 16,0
Andhra Pradesh,Parvathipuram Manyam,Female,16 to 18,7
Andhra Pradesh,Parvathipuram Manyam,Female,Above 18,69
Andhra Pradesh,Parvathipuram Manyam,Transgender,Below 12,1
Andhra Pradesh,Parvathipuram Manyam,Transgender,12 to 16,1
Andhra Pradesh,Parvathipuram Manyam,Transgender,16 to 18,0
Andhra Pradesh,Parvathipuram Manyam,Transgender,Above 18,0
Andhra Pradesh,Prakasam,Male,Below 12,26
Andhra Pradesh,Prakasam,Male,12 to 16,32
Andhra Pradesh,Prakasam,Male,16 to 18,15
Andhra Pradesh,Prakasam,Male,Above 18,139
Andhra Pradesh,Prakasam,Female,Below 12,22
Andhra Pradesh,Prakasam,Female,12 to 16,62
Andhra Pradesh,Prakasam,Female,16 to 18,67
Andhra Pradesh,Prakasam,Female,Above 18,323
Andhra Pradesh,Prakasam,Transgender,Below 12,0
Andhra Pradesh,Prakasam,Transgender,12 to 16,0
Andhra Pradesh,Prakasam,Transgender,16 to 18,0
Andhra Pradesh,Prakasam,Transgender,Above 18,0
Andhra Pradesh,Sri Potti Sriramulu Nellore,Male,Below 12,35
Andhra Pradesh,Sri Potti Sriramulu Nellore,Male,12 to 16,22
Andhra Pradesh,Sri Potti Sriramulu Nellore,Male,16 to 18,13
Andhra Pradesh,Sri Potti Sriramulu Nellore,Male,Above 18,159
Andhra Pradesh,Sri Potti Sriramulu Nellore,Female,Below 12,21
Andhra Pradesh,Sri Potti Sriramulu Nellore,Female,12 to 16,90
Andhra Pradesh,Sri Potti Sriramulu Nellore,Female,16 to 18,89
Andhra Pradesh,Sri Potti Sriramulu Nellore,Female,Above 18,342
Andhra Pradesh,Sri Potti Sriramulu Nellore,Transgender,Below 12,0
Andhra Pradesh,Sri Potti Sriramulu Nellore,Transgender,12 to 16,0
Andhra Pradesh,Sri Potti Sriramulu Nellore,Transgender,16 to 18,0
Andhra Pradesh,Sri Potti Sriramulu Nellore,Transgender,Above 18,0
Andhra Pradesh,Sri Sathya Sai,Male,Below 12,2
Andhra Pradesh,Sri Sathya Sai,Male,12 to 16,5
Andhra Pradesh,Sri Sathya Sai,Male,16 to 18,28
Andhra Pradesh,Sri Sathya Sai,Male,Above 18,82
Andhra Pradesh,Sri Sathya Sai,Female,Below 12,3
Andhra Pradesh,Sri Sathya Sai,Female,12 to 16,62
Andhra Pradesh,Sri Sathya Sai,Female,16 to 18,103
Andhra Pradesh,Sri Sathya Sai,Female,Above 18,256
Andhra Pradesh,Sri Sathya Sai,Transgender,Below 12,0
Andhra Pradesh,Sri Sathya Sai,Transgender,12 to 16,0
Andhra Pradesh,Sri Sathya Sai,Transgender,16 to 18,0
Andhra Pradesh,Sri Sathya Sai,Transgender,Above 18,0
Andhra Pradesh,Srikakulam,Male,Below 12,14
Andhra Pradesh,Srikakulam,Male,12 to 16,13
Andhra Pradesh,Srikakulam,Male,16 to 18,15
Andhra Pradesh,Srikakulam,Male,Above 18,117
Andhra Pradesh,Srikakulam,Female,Below 12,17
Andhra Pradesh,Srikakulam,Female,12 to 16,14
Andhra Pradesh,Srikakulam,Female,16 to 18,88
Andhra Pradesh,Srikakulam,Female,Above 18,272
Andhra Pradesh,Srikakulam,Transgender,Below 12,0
Andhra Pradesh,Srikakulam,Transgender,12 to 16,0
Andhra Pradesh,Srikakulam,Transgender,16 to 18,0
Andhra Pradesh,Srikakulam,Transgender,Above 18,0
Andhra Pradesh,Tirupati,Male,Below 12,30
Andhra Pradesh,Tirupati,Male,12 to 16,20
Andhra Pradesh,Tirupati,Male,16 to 18,11
Andhra Pradesh,Tirupati,Male,Above 18,163
Andhra Pradesh,Tirupati,Female,Below 12,20
Andhra Pradesh,Tirupati,Female,12 to 16,63
Andhra Pradesh,Tirupati,Female,16 to 18,134
Andhra Pradesh,Tirupati,Female,Above 18,398
Andhra Pradesh,Tirupati,Transgender,Below 12,0
Andhra Pradesh,Tirupati,Transgender,12 to 16,0
Andhra Pradesh,Tirupati,Transgender,16 to 18,0
Andhra Pradesh,Tirupati,Transgender,Above 18,0
Andhra Pradesh,Viiayawada Railway,Male,Below 12,0
Andhra Pradesh,Viiayawada Railway,Male,12 to 16,0
Andhra Pradesh,Viiayawada Railway,Male,16 to 18,0
Andhra Pradesh,Viiayawada Railway,Male,Above 18,22
Andhra Pradesh,Viiayawada Railway,Female,Below 12,0
Andhra Pradesh,Viiayawada Railway,Female,12 to 16,0
Andhra Pradesh,Viiayawada Railway,Female,16 to 18,0
Andhra Pradesh,Viiayawada Railway,Female,Above 18,13
Andhra Pradesh,Viiayawada Railway,Transgender,Below 12,1
Andhra Pradesh,Viiayawada Railway,Transgender,12 to 16,0
Andhra Pradesh,Viiayawada Railway,Transgender,16 to 18,1
Andhra Pradesh,Viiayawada Railway,Transgender,Above 18,0
Andhra Pradesh,Visakhapatnam,Male,Below 12,9
Andhra Pradesh,Visakhapatnam,Male,12 to 16,9
Andhra Pradesh,Visakhapatnam,Male,16 to 18,19
Andhra Pradesh,Visakhapatnam,Male,Above 18,293
Andhra Pradesh,Visakhapatnam,Female,Below 12,4
Andhra Pradesh,Visakhapatnam,Female,12 to 16,36
Andhra Pradesh,Visakhapatnam,Female,16 to 18,60
Andhra Pradesh,Visakhapatnam,Female,Above 18,415
Andhra Pradesh,Visakhapatnam,Transgender,Below 12,0
Andhra Pradesh,Visakhapatnam,Transgender,12 to 16,0
Andhra Pradesh,Visakhapatnam,Transgender,16 to 18,0
Andhra Pradesh,Visakhapatnam,Transgender,Above 18,0
Andhra Pradesh,Vizianagaram,Male,Below 12,14
Andhra Pradesh,Vizianagaram,Male,12 to 16,5
Andhra Pradesh,Vizianagaram,Male,16 to 18,4
Andhra Pradesh,Vizianagaram,Male,Above 18,148
Andhra Pradesh,Vizianagaram,Female,Below 12,18
Andhra Pradesh,Vizianagaram,Female,12 to 16,6
Andhra Pradesh,Vizianagaram,Female,16 to 18,5
Andhra Pradesh,Vizianagaram,Female,Above 18,217
Andhra Pradesh,Vizianagaram,Transgender,Below 12,0
Andhra Pradesh,Vizianagaram,Transgender,12 to 16,0
Andhra Pradesh,Vizianagaram,Transgender,16 to 18,0
Andhra Pradesh,Vizianagaram,Transgender,Above 18,0
Andhra Pradesh,West Godavari,Male,Below 12,2
Andhra Pradesh,West Godavari,Male,12 to 16,5
Andhra Pradesh,West Godavari,Male,16 to 18,12
Andhra Pradesh,West Godavari,Male,Above 18,148
Andhra Pradesh,West Godavari,Female,Below 12,7
Andhra Pradesh,West Godavari,Female,12 to 16,34
Andhra Pradesh,West Godavari,Female,16 to 18,54
Andhra Pradesh,West Godavari,Female,Above 18,248
Andhra Pradesh,West Godavari,Transgender,Below 12,0
Andhra Pradesh,West Godavari,Transgender,12 to 16,0
Andhra Pradesh,West Godavari,Transgender,16 to 18,0
Andhra Pradesh,West Godavari,Transgender,Above 18,0
Andhra Pradesh,YSR,Male,Below 12,7
Andhra Pradesh,YSR,Male,12 to 16,25
Andhra Pradesh,YSR,Male,16 to 18,12
Andhra Pradesh,YSR,Male,Above 18,118
Andhra Pradesh,YSR,Female,Below 12,30
Andhra Pradesh,YSR,Female,12 to 16,62
Andhra Pradesh,YSR,Female,16 to 18,72
Andhra Pradesh,YSR,Female,Above 18,272
Andhra Pradesh,YSR,Transgender,Below 12,0
Andhra Pradesh,YSR,Transgender,12 to 16,0
Andhra Pradesh,YSR,Transgender,16 to 18,0
Andhra Pradesh,YSR,Transgender,Above 18,0
Arunachal Pradesh,Anjaw,Male,Below 12,0
Arunachal Pradesh,Anjaw,Male,12 to 16,0
Arunachal Pradesh,Anjaw,Male,16 to 18,0
Arunachal Pradesh,Anjaw,Male,Above 18,2
Arunachal Pradesh,Anjaw,Female,Below 12,0
Arunachal Pradesh,Anjaw,Female,12 to 16,0
Arunachal Pradesh,Anjaw,Female,16 to 18,0
Arunachal Pradesh,Anjaw,Female,Above 18,0
Arunachal Pradesh,Anjaw,Transgender,Below 12,0
Arunachal Pradesh,Anjaw,Transgender,12 to 16,0
Arunachal Pradesh,Anjaw,Transgender,16 to 18,0
Arunachal Pradesh,Anjaw,Transgender,Above 18,0
Arunachal Pradesh,Changlang,Male,Below 12,2
Arunachal Pradesh,Changlang,Male,12 to 16,2
Arunachal Pradesh,Changlang,Male,16 to 18,0
Arunachal Pradesh,Changlang,Male,Above 18,3
Arunachal Pradesh,Changlang,Female,Below 12,2
Arunachal Pradesh,Changlang,Female,12 to 16,0
Arunachal Pradesh,Changlang,Female,16 to 18,0
Arunachal Pradesh,Changlang,Female,Above 18,5
Arunachal Pradesh,Changlang,Transgender,Below 12,0
Arunachal Pradesh,Changlang,Transgender,12 to 16,0
Arunachal Pradesh,Changlang,Transgender,16 to 18,0
Arunachal Pradesh,Changlang,Transgender,Above 18,0
Arunachal Pradesh,Crime Branch,Male,Below 12,0
Arunachal Pradesh,Crime Branch,Male,12 to 16,0
Arunachal Pradesh,Crime Branch,Male,16 to 18,0
Arunachal Pradesh,Crime Branch,Male,Above 18,0
Arunachal Pradesh,Crime Branch,Female,Below 12,0
Arunachal Pradesh,Crime Branch,Female,12 to 16,0
Arunachal Pradesh,Crime Branch,Female,16 to 18,0
Arunachal Pradesh,Crime Branch,Female,Above 18,0
Arunachal Pradesh,Crime Branch,Transgender,Below 12,0
Arunachal Pradesh,Crime Branch,Transgender,12 to 16,0
Arunachal Pradesh,Crime Branch,Transgender,16 to 18,0
Arunachal Pradesh,Crime Branch,Transgender,Above 18,0
Arunachal Pradesh,Dibang Valley,Male,Below 12,0
Arunachal Pradesh,Dibang Valley,Male,12 to 16,0
Arunachal Pradesh,Dibang Valley,Male,16 to 18,0
Arunachal Pradesh,Dibang Valley,Male,Above 18,0
Arunachal Pradesh,Dibang Valley,Female,Below 12,0
Arunachal Pradesh,Dibang Valley,Female,12 to 16,0
Arunachal Pradesh,Dibang Valley,Female,16 to 18,0
Arunachal Pradesh,Dibang Valley,Female,Above 18,0
Arunachal Pradesh,Dibang Valley,Transgender,Below 12,0
Arunachal Pradesh,Dibang Valley,Transgender,12 to 16,0
Arunachal Pradesh,Dibang Valley,Transgender,16 to 18,0
Arunachal Pradesh,Dibang Valley,Transgender,Above 18,0
Arunachal Pradesh,Kameng East,Male,Below 12,0
Arunachal Pradesh,Kameng East,Male,12 to 16,0
Arunachal Pradesh,Kameng East,Male,16 to 18,0
Arunachal Pradesh,Kameng East,Male,Above 18,0
Arunachal Pradesh,Kameng East,Female,Below 12,0
Arunachal Pradesh,Kameng East,Female,12 to 16,0
Arunachal Pradesh,Kameng East,Female,16 to 18,0
Arunachal Pradesh,Kameng East,Female,Above 18,0
Arunachal Pradesh,Kameng East,Transgender,Below 12,0
Arunachal Pradesh,Kameng East,Transgender,12 to 16,0
Arunachal Pradesh,Kameng East,Transgender,16 to 18,0
Arunachal Pradesh,Kameng East,Transgender,Above 18,0
Arunachal Pradesh,Kameng West,Male,Below 12,0
Arunachal Pradesh,Kameng West,Male,12 to 16,0
Arunachal Pradesh,Kameng West,Male,16 to 18,0
Arunachal Pradesh,Kameng West,Male,Above 18,0
Arunachal Pradesh,Kameng West,Female,Below 12,0
Arunachal Pradesh,Kameng West,Female,12 to 16,0
Arunachal Pradesh,Kameng West,Female,16 to 18,0
Arunachal Pradesh,Kameng West,Female,Above 18,0
Arunachal Pradesh,Kameng West,Transgender,Below 12,0
Arunachal Pradesh,Kameng West,Transgender,12 to 16,0
Arunachal Pradesh,Kameng West,Transgender,16 to 18,0
Arunachal Pradesh,Kameng West,Transgender,Above 18,0
Arunachal Pradesh,Kurung Kumey,Male,Below 12,1
Arunachal Pradesh,Kurung Kumey,Male,12 to 16,0
Arunachal Pradesh,Kurung Kumey,Male,16 to 18,0
Arunachal Pradesh,Kurung Kumey,Male,Above 18,23
Arunachal Pradesh,Kurung Kumey,Female,Below 12,0
Arunachal Pradesh,Kurung Kumey,Female,12 to 16,0
Arunachal Pradesh,Kurung Kumey,Female,16 to 18,1
Arunachal Pradesh,Kurung Kumey,Female,Above 18,1
Arunachal Pradesh,Kurung Kumey,Transgender,Below 12,0
Arunachal Pradesh,Kurung Kumey,Transgender,12 to 16,0
Arunachal Pradesh,Kurung Kumey,Transgender,16 to 18,0
Arunachal Pradesh,Kurung Kumey,Transgender,Above 18,0
Arunachal Pradesh,Lohit,Male,Below 12,0
Arunachal Pradesh,Lohit,Male,12 to 16,0
Arunachal Pradesh,Lohit,Male,16 to 18,0
Arunachal Pradesh,Lohit,Male,Above 18,0
Arunachal Pradesh,Lohit,Female,Below 12,0
Arunachal Pradesh,Lohit,Female,12 to 16,0
Arunachal Pradesh,Lohit,Female,16 to 18,0
Arunachal Pradesh,Lohit,Female,Above 18,0
Arunachal Pradesh,Lohit,Transgender,Below 12,0
Arunachal Pradesh,Lohit,Transgender,12 to 16,0
Arunachal Pradesh,Lohit,Transgender,16 to 18,0
Arunachal Pradesh,Lohit,Transgender,Above 18,0
Arunachal Pradesh,Longding,Male,Below 12,0
Arunachal Pradesh,Longding,Male,12 to 16,0
Arunachal Pradesh,Longding,Male,16 to 18,0
Arunachal Pradesh,Longding,Male,Above 18,0
Arunachal Pradesh,Longding,Female,Below 12,0
Arunachal Pradesh,Longding,Female,12 to 16,0
Arunachal Pradesh,Longding,Female,16 to 18,0
Arunachal Pradesh,Longding,Female,Above 18,0
Arunachal Pradesh,Longding,Transgender,Below 12,0
Arunachal Pradesh,Longding,Transgender,12 to 16,0
Arunachal Pradesh,Longding,Transgender,16 to 18,0
Arunachal Pradesh,Longding,Transgender,Above 18,0
Arunachal Pradesh,Lower Dibang Valley,Male,Below 12,0
Arunachal Pradesh,Lower Dibang Valley,Male,12 to 16,0
Arunachal Pradesh,Lower Dibang Valley,Male,16 to 18,0
Arunachal Pradesh,Lower Dibang Valley,Male,Above 18,0
Arunachal Pradesh,Lower Dibang Valley,Female,Below 12,0
Arunachal Pradesh,Lower Dibang Valley,Female,12 to 16,0
Arunachal Pradesh,Lower Dibang Valley,Female,16 to 18,0
Arunachal Pradesh,Lower Dibang Valley,Female,Above 18,0
Arunachal Pradesh,Lower Dibang Valley,Transgender,Below 12,0
Arunachal Pradesh,Lower Dibang Valley,Transgender,12 to 16,0
Arunachal Pradesh,Lower Dibang Valley,Transgender,16 to 18,0
Arunachal Pradesh,Lower Dibang Valley,Transgender,Above 18,0
Arunachal Pradesh,Papum Pare City,Male,Below 12,0
Arunachal Pradesh,Papum Pare City,Male,12 to 16,0
Arunachal Pradesh,Papum Pare City,Male,16 to 18,0
Arunachal Pradesh,Papum Pare City,Male,Above 18,0
Arunachal Pradesh,Papum Pare City,Female,Below 12,0
Arunachal Pradesh,Papum Pare City,Female,12 to 16,0
Arunachal Pradesh,Papum Pare City,Female,16 to 18,0
Arunachal Pradesh,Papum Pare City,Female,Above 18,0
Arunachal Pradesh,Papum Pare City,Transgender,Below 12,0
Arunachal Pradesh,Papum Pare City,Transgender,12 to 16,0
Arunachal Pradesh,Papum Pare City,Transgender,16 to 18,0
Arunachal Pradesh,Papum Pare City,Transgender,Above 18,0
Arunachal Pradesh,Papum Pare Rural,Male,Below 12,0
Arunachal Pradesh,Papum Pare Rural,Male,12 to 16,0
Arunachal Pradesh,Papum Pare Rural,Male,16 to 18,0
Arunachal Pradesh,Papum Pare Rural,Male,Above 18,0
Arunachal Pradesh,Papum Pare Rural,Female,Below 12,0
Arunachal Pradesh,Papum Pare Rural,Female,12 to 16,0
Arunachal Pradesh,Papum Pare Rural,Female,16 to 18,0
Arunachal Pradesh,Papum Pare Rural,Female,Above 18,0
Arunachal Pradesh,Papum Pare Rural,Transgender,Below 12,0
Arunachal Pradesh,Papum Pare Rural,Transgender,12 to 16,0
Arunachal Pradesh,Papum Pare Rural,Transgender,16 to 18,0
Arunachal Pradesh,Papum Pare Rural,Transgender,Above 18,0
